trunk -lsr1
|    id |    name |  nvar | elapsed_time |  iter |      status | objective | neval_obj | neval_grad |
|    21 | Generic |  5000 |      1.2e+02 |  5000 | unknown |   4.4e+03 |         1 |          1 |
|    22 | Generic |  5000 |      2.1e+02 |  5000 | unknown |   1.8e+04 |         1 |          1 |
|    23 | Generic |  5000 |      4.6e+00 |    26 | unknown |   4.2e-04 |         1 |          1 |
|    24 | Generic |  5000 |      1.1e+01 |    41 | unknown |   1.8e+04 |         1 |          1 |
|    25 | Generic |  5000 |      2.2e+01 |   241 | unknown |   5.0e+03 |         1 |          1 |

L-SR1
|    id |    name |  nvar | elapsed_time |  iter |  status | objective | neval_obj | neval_grad |
|-------|---------|-------|--------------|-------|---------|-----------|-----------|------------|
|     1 | Generic |   100 |      3.2e-01 |  3168 | unknown |   4.7e-06 |      3170 |       2092 |
|     2 | Generic |   100 |      7.3e-01 |  5000 | unknown |   6.4e+01 |      5002 |       3253 |
|     3 | Generic |   100 |      9.8e-03 |    64 | unknown |   1.1e-04 |        66 |         40 |
|     4 | Generic |   100 |      4.6e-01 |  3110 | unknown |   2.9e+02 |      3112 |       2640 |
|     5 | Generic |   100 |      1.8e-01 |  1953 | unknown |   8.2e+01 |      1955 |       1755 |
|     6 | Generic |   500 |      2.5e+00 |  5000 | unknown |   3.1e+02 |      5002 |       3352 |
|     7 | Generic |   500 |      2.9e+00 |  5000 | unknown |   1.4e+03 |      5002 |       3267 |
|     8 | Generic |   500 |      2.2e-02 |    87 | unknown |   3.1e-04 |        89 |         54 |
|     9 | Generic |   500 |      6.8e-01 |  1261 | unknown |   1.7e+03 |      1263 |        816 |
|    10 | Generic |   500 |      7.5e-01 |  1154 | unknown |   4.8e+02 |      1156 |        874 |
|    11 | Generic |  1000 |      4.3e+00 |  5000 | unknown |   8.0e+02 |      5002 |       3375 |
|    12 | Generic |  1000 |      4.0e+00 |  5000 | unknown |   3.4e+03 |      5002 |       3288 |
|    13 | Generic |  1000 |      2.6e-01 |    82 | unknown |   2.9e-04 |        84 |         51 |
|    14 | Generic |  1000 |      6.5e-01 |   902 | unknown |   3.5e+03 |       904 |        584 |
|    15 | Generic |  1000 |      6.0e-01 |   892 | unknown |   9.8e+02 |       894 |        614 |
|    16 | Generic |  2000 |      6.4e+00 |  5000 | unknown |   1.8e+03 |      5002 |       3343 |
|    17 | Generic |  2000 |      6.7e+00 |  5000 | unknown |   7.3e+03 |      5002 |       3283 |
|    18 | Generic |  2000 |      2.6e-01 |   108 | unknown |   3.1e-04 |       110 |         65 |
|    19 | Generic |  2000 |      1.2e+00 |   712 | unknown |   7.1e+03 |       714 |        462 |
|    20 | Generic |  2000 |      1.4e+00 |  1102 | unknown |   2.0e+03 |      1104 |        754 |
|    21 | Generic |  5000 |      1.1e+01 |  5000 | unknown |   4.8e+03 |      5002 |       3365 |
|    22 | Generic |  5000 |      1.2e+01 |  5000 | unknown |   1.9e+04 |      5002 |       3264 |
|    23 | Generic |  5000 |      2.8e-01 |   165 | unknown |   6.8e-04 |       167 |        102 |
|    24 | Generic |  5000 |      2.1e+00 |   649 | unknown |   1.8e+04 |       651 |        417 |
|    25 | Generic |  5000 |      4.4e+00 |  5000 | unknown |   5.0e+03 |      5002 |        924 |
