|    id |    name |  nvar |  ncon |  nequ |      status | objective | elapsed_time |  iter | dual_feas | primal_feas | neval_obj | neval_grad | neval_cons | neval_jcon | neval_jgrad | neval_jac | neval_jprod | neval_jtprod | neval_hess | neval_hprod | neval_jhprod | neval_residual | neval_jac_residual | neval_jprod_residual | neval_jtprod_residual | neval_hess_residual | neval_jhess_residual | neval_hprod_residual | extrainfo |
|    id |    name |  nvar |  ncon |  nequ |      status | objective | elapsed_time |    iter | dual_feas | primal_feas | neval_obj | neval_grad | neval_cons | neval_jcon | neval_jgrad | neval_jac | neval_jprod | neval_jtprod | neval_hess | neval_hprod | neval_jhprod | neval_residual | neval_jac_residual | neval_jprod_residual | neval_jtprod_residual | neval_hess_residual | neval_jhess_residual | neval_hprod_residual | extrainfo |
|-------|---------|-------|-------|-------|-------------|-----------|--------------|---------|-----------|-------------|-----------|------------|------------|------------|-------------|-----------|-------------|--------------|------------|-------------|--------------|----------------|--------------------|----------------------|-----------------------|---------------------|----------------------|----------------------|-----------|
|     1 | Generic |  1000 |     0 |     0 | first_order |   3.2e-12 |      2.1e+02 |  174528 |   3.2e-05 |     0.0e+00 |   1611693 |     174522 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     2 | Generic |  1000 |     0 |     0 | first_order |   8.2e-10 |      1.9e+00 |    6892 |   1.6e-03 |     0.0e+00 |      9159 |       6887 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     3 | Generic |  1000 |     0 |     0 | first_order |   0.0e+00 |      0.0e+00 |       0 |   0.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     4 | Generic |  1000 |     0 |     0 | first_order |   3.5e+03 |      7.2e+02 | 1757299 |   1.0e-04 |     0.0e+00 |   1758504 |    3505964 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     5 | Generic |  2000 |     0 |     0 | first_order |   2.3e-11 |      1.0e+02 |  325996 |   7.0e-05 |     0.0e+00 |    326202 |     325991 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     6 | Generic |  2000 |     0 |     0 | first_order |   4.5e-08 |      8.4e+00 |    4873 |   2.5e-03 |     0.0e+00 |     24018 |       4868 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     7 | Generic |  2000 |     0 |     0 | first_order |   0.0e+00 |      0.0e+00 |       0 |   0.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     8 | Generic |  2000 |     0 |     0 | first_order |   7.1e+03 |      1.5e+03 | 1854901 |   9.1e-05 |     0.0e+00 |   1855533 |    3703099 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
